# GLoss,DLoss,KLDivergence,RevKLDivergence
5.3281e-01,2.7229e+00,4.6298e-01,6.0367e-01
5.0290e-01,2.5229e+00,4.3576e-01,6.0639e-01
4.9968e-01,2.2627e+00,4.0829e-01,4.8654e-01
5.8408e-01,2.7498e+00,4.3754e-01,5.0316e-01
4.9265e-01,2.3767e+00,4.7661e-01,7.3414e-01
5.0716e-01,2.2985e+00,5.6637e-01,8.3581e-01
5.8316e-01,2.7563e+00,4.3785e-01,6.3075e-01
5.1575e-01,2.5555e+00,5.3360e-01,7.4884e-01
4.3817e-01,2.4819e+00,5.0212e-01,7.4536e-01
5.5498e-01,2.6982e+00,4.5120e-01,6.0263e-01
5.4241e-01,2.7560e+00,4.8124e-01,6.2333e-01
5.9414e-01,2.6957e+00,5.5175e-01,9.4690e-01
5.0511e-01,2.8562e+00,5.0966e-01,8.5053e-01
5.7812e-01,2.4781e+00,4.6930e-01,6.7335e-01
6.2435e-01,2.5025e+00,4.6480e-01,6.5269e-01
4.8377e-01,2.5089e+00,4.2110e-01,5.3676e-01
4.1700e-01,2.5090e+00,4.6545e-01,7.7913e-01
5.7586e-01,3.0652e+00,3.9996e-01,5.2055e-01
5.2571e-01,2.8066e+00,4.8460e-01,6.3139e-01
6.2161e-01,2.4590e+00,5.9296e-01,9.3228e-01
5.9745e-01,2.8915e+00,4.9883e-01,7.8922e-01
4.9805e-01,2.7381e+00,4.6421e-01,6.0017e-01
4.5743e-01,2.6606e+00,5.1193e-01,6.3775e-01
5.6304e-01,2.9096e+00,4.9743e-01,8.7002e-01
5.5533e-01,2.4566e+00,4.8862e-01,7.2839e-01
4.9009e-01,2.7940e+00,4.8140e-01,6.1670e-01
4.6964e-01,2.5140e+00,4.8109e-01,9.5918e-01
5.2485e-01,2.8834e+00,4.8719e-01,6.9388e-01
5.3481e-01,2.4854e+00,4.2268e-01,5.5042e-01
5.4282e-01,2.8806e+00,4.7986e-01,5.9309e-01
5.1798e-01,2.7947e+00,4.8118e-01,6.8386e-01
5.2503e-01,3.0019e+00,5.0871e-01,8.3384e-01
5.5424e-01,2.8514e+00,5.0875e-01,7.5148e-01
5.3077e-01,2.8683e+00,5.4843e-01,7.5091e-01
5.3233e-01,2.2526e+00,4.5298e-01,7.5687e-01
5.9650e-01,2.5375e+00,4.0890e-01,5.2538e-01
5.5499e-01,2.4961e+00,4.4660e-01,6.6651e-01
5.7099e-01,2.3161e+00,5.3037e-01,7.5877e-01
5.0588e-01,2.6170e+00,4.4453e-01,5.9642e-01
5.5999e-01,2.6872e+00,4.7688e-01,6.6481e-01
5.7170e-01,3.0145e+00,4.7169e-01,7.2120e-01
4.5859e-01,2.8334e+00,4.3821e-01,6.5811e-01
4.7491e-01,2.4743e+00,4.6432e-01,6.7001e-01
6.7804e-01,2.2078e+00,4.5600e-01,6.8580e-01
5.5562e-01,2.4905e+00,4.6004e-01,6.6989e-01
4.6143e-01,2.4612e+00,4.9117e-01,7.4099e-01
4.9910e-01,2.8690e+00,5.0648e-01,6.5690e-01
3.8884e-01,2.6069e+00,4.6542e-01,7.6651e-01
6.0606e-01,2.3970e+00,5.6277e-01,1.0542e+00
6.3041e-01,2.7827e+00,4.3779e-01,6.7389e-01
4.9776e-01,2.6354e+00,4.7084e-01,7.8167e-01
5.2353e-01,2.5326e+00,5.5214e-01,1.0802e+00
4.6354e-01,2.7837e+00,4.3910e-01,7.1429e-01
6.1648e-01,2.6446e+00,5.4885e-01,1.0751e+00
5.0737e-01,2.6904e+00,4.7925e-01,6.1643e-01
5.1295e-01,2.7486e+00,4.8817e-01,6.6097e-01
4.9072e-01,2.7509e+00,5.0259e-01,6.8900e-01
5.0085e-01,2.1898e+00,4.9469e-01,6.7790e-01
4.4113e-01,2.3957e+00,5.2633e-01,8.8224e-01
4.8375e-01,2.5647e+00,4.7454e-01,6.7322e-01
5.2931e-01,2.9857e+00,5.5745e-01,1.0987e+00
4.4887e-01,2.6429e+00,5.2246e-01,8.9316e-01
4.0100e-01,2.5285e+00,5.4494e-01,9.2137e-01
