# GLoss,DLoss
1.0159e+00,1.2594e+00
8.9516e-01,1.4851e+00
9.4976e-01,1.3789e+00
9.0936e-01,1.3017e+00
1.1743e+00,1.4033e+00
1.0597e+00,1.2804e+00
1.0221e+00,1.5390e+00
9.6018e-01,1.6327e+00
8.7396e-01,1.6740e+00
9.1301e-01,1.5058e+00
8.3866e-01,1.8008e+00
8.4192e-01,1.6483e+00
6.9468e-01,1.9259e+00
9.5922e-01,1.7633e+00
9.9209e-01,1.5619e+00
8.2075e-01,1.9037e+00
9.7499e-01,1.2158e+00
7.2085e-01,1.5865e+00
1.1396e+00,1.3936e+00
9.8320e-01,1.5612e+00
8.6410e-01,1.4245e+00
7.1132e-01,1.7160e+00
1.1063e+00,1.5243e+00
9.9488e-01,1.4436e+00
8.2115e-01,1.6303e+00
8.6733e-01,1.6784e+00
7.9252e-01,1.5220e+00
8.3791e-01,1.3926e+00
1.1162e+00,1.4103e+00
9.9601e-01,1.3943e+00
7.9365e-01,1.6523e+00
7.6476e-01,1.4785e+00
8.7738e-01,1.4397e+00
1.2140e+00,1.4212e+00
1.0375e+00,1.5542e+00
8.3096e-01,1.5587e+00
8.4016e-01,1.5437e+00
9.3522e-01,1.4335e+00
1.2270e+00,1.3152e+00
9.4196e-01,1.2988e+00
1.0833e+00,1.3803e+00
9.5395e-01,1.5597e+00
9.0548e-01,1.4725e+00
9.0732e-01,1.6910e+00
1.0281e+00,1.4189e+00
7.4270e-01,1.4642e+00
9.0108e-01,1.5673e+00
8.1741e-01,1.5848e+00
8.5322e-01,1.6399e+00
9.5983e-01,1.2634e+00
1.1723e+00,1.1154e+00
7.6493e-01,1.8490e+00
7.3381e-01,1.9673e+00
9.3056e-01,1.6592e+00
8.6924e-01,1.7523e+00
8.9645e-01,1.3657e+00
9.7086e-01,1.5353e+00
9.8395e-01,1.5998e+00
8.8956e-01,1.5862e+00
9.3239e-01,1.7252e+00
9.4402e-01,1.3144e+00
1.0090e+00,1.3420e+00
1.0362e+00,1.5325e+00
7.8466e-01,1.6136e+00
1.0398e+00,2.1445e+00
8.1738e-01,1.5698e+00
7.8169e-01,1.6307e+00
9.4785e-01,1.7342e+00
7.9859e-01,1.4567e+00
1.0545e+00,1.2938e+00
8.7222e-01,1.3288e+00
8.6108e-01,1.8646e+00
9.6960e-01,1.8262e+00
9.5955e-01,1.5466e+00
9.7702e-01,1.4201e+00
8.6318e-01,1.4535e+00
8.0846e-01,1.5743e+00
8.7633e-01,1.3794e+00
9.3643e-01,1.5334e+00
1.0168e+00,1.4118e+00
1.0000e+00,1.3444e+00
8.7026e-01,1.4712e+00
1.0568e+00,1.1693e+00
1.1363e+00,1.2627e+00
8.0310e-01,1.8066e+00
8.3943e-01,1.5877e+00
1.0612e+00,1.1095e+00
9.2137e-01,1.5438e+00
1.0390e+00,1.3384e+00
1.0392e+00,1.5056e+00
9.2154e-01,1.7251e+00
8.7914e-01,1.4350e+00
1.0046e+00,1.5401e+00
1.0697e+00,1.3746e+00
9.7473e-01,1.3745e+00
1.1082e+00,1.1377e+00
9.2409e-01,1.5770e+00
7.9025e-01,1.6456e+00
6.5613e-01,1.5557e+00
9.9411e-01,1.5036e+00
1.0523e+00,1.2182e+00
7.7070e-01,1.7138e+00
1.0665e+00,1.2852e+00
8.1514e-01,1.6260e+00
8.5415e-01,1.4471e+00
1.0465e+00,1.4957e+00
7.8569e-01,1.5582e+00
9.7203e-01,1.4930e+00
1.0637e+00,1.1675e+00
1.1048e+00,1.1237e+00
1.0581e+00,1.5107e+00
8.7948e-01,1.5899e+00
9.7132e-01,1.4467e+00
1.0272e+00,1.4257e+00
1.0302e+00,1.4111e+00
9.3724e-01,1.7066e+00
8.3716e-01,1.6402e+00
9.8746e-01,1.3590e+00
1.0439e+00,1.7635e+00
9.0575e-01,1.4204e+00
1.0359e+00,1.4399e+00
8.5820e-01,1.6216e+00
8.1249e-01,1.4710e+00
9.8797e-01,1.5238e+00
9.2041e-01,1.6189e+00
8.9325e-01,1.8039e+00
9.9818e-01,1.3371e+00
8.3409e-01,1.3912e+00
1.0141e+00,1.3817e+00
8.4915e-01,1.8423e+00
1.2911e+00,1.4717e+00
1.0090e+00,1.4406e+00
